LabVIEW Measurement,,,,,
Writer_Version,2,,,,
Reader_Version,2,,,,
Separator,Tab,,,,
Decimal_Separator,.,,,,
Multi_Headings,No,,,,
X_Columns,One,,,,
Time_Pref,Absolute,,,,
Operator,bioMEMS,,,,
Date,8/12/2025,,,,
Time,28:39.3,,,,
***End_of_Header***,,,,,
,,,,,
Notes,X values guaranteed valid only for Avg RMS,,,,
Channels,4,,,,
Samples,1,100,100,2,
Date,8/12/2025,8/12/2025,8/12/2025,8/12/2025,
Time,28:39.3,28:40.9,28:39.3,28:40.9,
X_Dimension,Time,Time,Time,Time,
X0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,
Delta_X,1,0.01,0.01,1,
***End_of_Header***,,,,,
X_Value,Untitled,Avg RMS,Untitled 1,Inst Amp,Comment
0,0,0.005117,0.005719,9.398331,
0.01,,0.018747,0.020759,10.562888,
0.02,,0.04734,0.052466,,
0.03,,0.10162,0.11274,,
0.04,,0.191179,0.212273,,
0.05,,0.326057,0.362261,,
0.06,,0.515337,0.572795,,
0.07,,0.763805,0.84915,,
0.08,,1.069596,1.18918,,
0.09,,1.42325,1.58228,,
0.1,,1.807764,2.009455,,
0.11,,2.199588,2.444474,,
0.12,,2.570901,2.856441,,
0.13,,2.893153,3.213731,,
0.14,,3.141467,3.488893,,
0.15,,3.299152,3.663627,,
0.16,,3.361295,3.732729,,
0.17,,3.336505,3.705959,,
0.18,,3.246158,3.607095,,
0.19,,3.120542,3.469547,,
0.2,,2.99211,3.328852,,
0.21,,2.88722,3.213615,,
0.22,,2.819611,3.138539,,
0.23,,2.789317,3.103538,,
0.24,,2.787445,3.099075,,
0.25,,2.80268,3.113224,,
0.26,,2.825365,3.135933,,
0.27,,2.848328,3.159761,,
0.28,,2.866385,3.179242,,
0.29,,2.876532,3.191114,,
0.3,,2.879007,3.19549,,
0.31,,2.877891,3.196547,,
0.32,,2.879874,3.201191,,
0.33,,2.89099,3.215536,,
0.34,,2.912887,3.240942,,
0.35,,2.941177,3.272335,,
0.36,,2.966994,3.299987,,
0.37,,2.980831,3.313704,,
0.38,,2.976416,3.306999,,
0.39,,2.952883,3.279349,,
0.4,,2.914823,3.236178,,
0.41,,2.870765,3.187089,,
0.42,,2.830804,3.143239,,
0.43,,2.804129,3.114609,,
0.44,,2.796887,3.107692,,
0.45,,2.810635,3.123881,,
0.46,,2.841883,3.159088,,
0.47,,2.882967,3.204745,,
0.48,,2.924064,3.250047,,
0.49,,2.955811,3.28479,,
0.5,,2.971653,3.3019,,
0.51,,2.96925,3.298932,,
0.52,,2.950741,3.278327,,
0.53,,2.921846,3.246404,,
0.54,,2.890133,3.21146,,
0.55,,2.863014,3.181606,,
0.56,,2.845949,3.162795,,
0.57,,2.841327,3.157634,,
0.58,,2.848314,3.165213,,
0.59,,2.863519,3.181832,,
0.6,,2.882183,3.202298,,
0.61,,2.89956,3.221421,,
0.62,,2.912026,3.235217,,
0.63,,2.917784,3.24171,,
0.64,,2.917028,3.241095,,
0.65,,2.911538,3.235293,,
0.66,,2.903896,3.227102,,
0.67,,2.896613,3.219224,,
0.68,,2.891376,3.213481,,
0.69,,2.888754,3.210484,,
0.7,,2.888315,3.209769,,
0.71,,2.889016,3.210233,,
0.72,,2.889743,3.210732,,
0.73,,2.889741,3.21051,,
0.74,,2.88882,3.209426,,
0.75,,2.887385,3.207943,,
