LabVIEW Measurement,,,,,,,
Writer_Version,2,,,,,,
Reader_Version,2,,,,,,
Separator,Tab,,,,,,
Decimal_Separator,.,,,,,,
Multi_Headings,No,,,,,,
X_Columns,One,,,,,,
Time_Pref,Absolute,,,,,,
Operator,bioMEMS,,,,,,
Date,8/13/25,,,,,,
Time,26:31.6,,,,,,
***End_of_Header***,,,,,,,
,,,,,,,
Notes,X values guaranteed valid only for Avg RMS,,,,,,
Channels,4,,,,,,
Samples,1,,100,,100,2,
Date,8/13/25,,8/13/25,,8/13/25,8/13/25,
Time,26:31.6,,26:33.2,,26:31.6,26:33.2,
X_Dimension,Time,,Time,,Time,Time,
X0,0.00E+00,,0.00E+00,,0.00E+00,0.00E+00,
Delta_X,1,,0.01,,0.01,1,
***End_of_Header***,,,,,,,
X_Value,Untitled,,Avg RMS,,Untitled 1,Inst Amp,Comment
0,0,"0.003683,",0.003683,"0.003273,",0.003273,6.601817,
0.01,,"0.013102,",0.013102,"0.011732,",0.011732,5.992431,
0.02,,"0.033211,",0.033211,"0.029687,",0.029687,,
0.03,,"0.071657,",0.071657,"0.06391,",0.06391,,
0.04,,"0.135468,",0.135468,"0.120558,",0.120558,,
0.05,,"0.232046,",0.232046,"0.206097,",0.206097,,
0.06,,"0.368061,",0.368061,"0.326367,",0.326367,,
0.07,,"0.547065,",0.547065,"0.484477,",0.484477,,
0.08,,"0.767769,",0.767769,"0.679277,",0.679277,,
0.09,,"1.023281,",1.023281,"0.904742,",0.904742,,
0.1,,"1.301129,",1.301129,"1.149979,",1.149979,,
0.11,,"1.584024,",1.584024,"1.399883,",1.399883,,
0.12,,"1.851549,",1.851549,"1.63659,",1.63659,,
0.13,,"2.082806,",2.082806,"1.841766,",1.841766,,
0.14,,"2.259713,",2.259713,"1.999463,",1.999463,,
0.15,,"2.370288,",2.370288,"2.099008,",2.099008,,
0.16,,"2.41131,",2.41131,"2.137308,",2.137308,,
0.17,,"2.389587,",2.389587,"2.120002,",2.120002,,
0.18,,"2.321267,",2.321267,"2.060915,",2.060915,,
0.19,,"2.228919,",2.228919,"1.979582,",1.979582,,
0.2,,"2.136374,",2.136374,"1.896869,",1.896869,,
0.21,,"2.062471,",2.062471,"1.829609,",1.829609,,
0.22,,"2.016351,",2.016351,"1.786429,",1.786429,,
0.23,,"1.997044,",1.997044,"1.767176,",1.767176,,
0.24,,"1.997365,",1.997365,"1.766047,",1.766047,,
0.25,,"2.008901,",2.008901,"1.775832,",1.775832,,
0.26,,"2.024826,",2.024826,"1.790451,",1.790451,,
0.27,,"2.040258,",2.040258,"1.805362,",1.805362,,
0.28,,"2.0518,",2.0518,"1.817235,",1.817235,,
0.29,,"2.057642,",2.057642,"1.824084,",1.824084,,
0.3,,"2.058333,",2.058333,"1.825992,",1.825992,,
0.31,,"2.057191,",2.057191,"1.825548,",1.825548,,
0.32,,"2.059247,",2.059247,"1.82705,",1.82705,,
0.33,,"2.068729,",2.068729,"1.834349,",1.834349,,
0.34,,"2.086382,",2.086382,"1.848472,",1.848472,,
0.35,,"2.108387,",2.108387,"1.866538,",1.866538,,
0.36,,"2.127802,",2.127802,"1.882813,",1.882813,,
0.37,,"2.137551,",2.137551,"1.891229,",1.891229,,
0.38,,"2.133232,",2.133232,"1.887855,",1.887855,,
0.39,,"2.114608,",2.114608,"1.87226,",1.87226,,
